zip,returns,wages,self_employed_income,freelance_ratio,freelance_score
98225.0,10830.0,1146058.0,86544.0,0.075514502756405,0.7015423922623045
98226.0,15570.0,1357992.0,67594.0,0.049774961855445395,0.48048594399138383
98229.0,10182.0,942558.0,68510.0,0.07268518223812222,0.6707733829516919
98230.0,6502.0,530930.0,29338.0,0.05525775525963875,0.4851641348808792
98232.0,1860.0,152582.0,11306.0,0.07409786213314808,0.5578731161971745
98233.0,5568.0,468124.0,18112.0,0.038690603344413016,0.333705323445019
98236.0,2722.0,202952.0,21434.0,0.10561117899798968,0.835330510593487
98237.0,1386.0,94538.0,3276.0,0.034652732234656966,0.25070899770411254
98239.0,3364.0,214460.0,13648.0,0.06363890702228854,0.5168232252536223
98240.0,1365.0,102552.0,4694.0,0.04577190108432795,0.33045674132511965
98241.0,828.0,59806.0,1732.0,0.028960304986121795,0.19461962526660087
98244.0,1024.0,78656.0,4280.0,0.05441415785191212,0.3772233138721819
98245.0,1508.0,121436.0,15544.0,0.1280015810797457,0.936869486965047
98247.0,3778.0,266170.0,10358.0,0.03891497914866439,0.3205510384239171
98248.0,9698.0,771044.0,29564.0,0.038342818308682775,0.35197856251375886
98249.0,2402.0,160362.0,21244.0,0.13247527469101159,1.0312502302290165
98250.0,3264.0,244390.0,25904.0,0.10599451696059577,0.8576032310670223
98251.0,1686.0,143918.0,3370.0,0.023416111952639696,0.1739982689321691
98252.0,3430.0,320764.0,7684.0,0.023955306705241236,0.19501073847852107
98253.0,938.0,52998.0,4844.0,0.0913996754594513,0.6256139133794638
98257.0,1918.0,126124.0,8048.0,0.06381021851511211,0.4823771433182421
98258.0,17432.0,1861018.0,51042.0,0.027426924403740317,0.2678546415607023
98260.0,2462.0,193094.0,33618.0,0.17410173283478514,1.3595840047542453
98261.0,1152.0,50984.0,8204.0,0.16091322767927194,1.1344579702708175
98262.0,434.0,28772.0,2962.0,0.10294730988461004,0.6254405305187225
98264.0,9032.0,621080.0,41300.0,0.06649706962066078,0.605697856070536
98266.0,1250.0,81734.0,3578.0,0.043776151907406954,0.3121983173520274
98267.0,176.0,11972.0,314.0,0.02622786501837621,0.1357593565008505
98270.0,17706.0,1750688.0,41158.0,0.02350961450583999,0.2299643563933212
98271.0,10168.0,953852.0,23868.0,0.02502274986056537,0.23088739411399553
98272.0,10516.0,1070752.0,33800.0,0.0315665999222976,0.29233033576288153
98273.0,10120.0,833984.0,37274.0,0.04469390300053718,0.4121836097516129
98274.0,6612.0,565018.0,31262.0,0.05532921075080794,0.48671959654751756
98275.0,9566.0,1280994.0,55638.0,0.04343345870472461,0.3981143380718582
98276.0,202.0,16092.0,1226.0,0.07618692518021378,0.4047968263923211
98277.0,17232.0,1097020.0,43448.0,0.039605476654937924,0.3863348470761025
98279.0,286.0,13888.0,3278.0,0.23603110599078342,1.335813846720913
98281.0,598.0,59180.0,8198.0,0.13852652923284894,0.885913392723056
98282.0,7686.0,536524.0,30514.0,0.05687350426076,0.5088635010126656
98283.0,158.0,13350.0,1002.0,0.0750561797752809,0.3804525850655185
98284.0,8804.0,712834.0,24068.0,0.03376382159100155,0.3066793245043736
98290.0,13554.0,1415150.0,73554.0,0.05197611560611949,0.49452731129788546
98292.0,9504.0,877730.0,34368.0,0.03915554897291878,0.3586481191541562
98294.0,2514.0,226310.0,5950.0,0.02629137024435509,0.20586216734159493
98295.0,1056.0,75946.0,2792.0,0.03676296315803334,0.25598749691293426
98296.0,12172.0,1459238.0,59860.0,0.04102140980429512,0.385887403707756
98303.0,514.0,26362.0,3108.0,0.11789697291556028,0.7361683759677905
98304.0,272.0,19658.0,1236.0,0.0628751653270933,0.35269646651992115
98305.0,194.0,10878.0,840.0,0.07722007722007722,0.4071814330937256
98310.0,6188.0,554832.0,14666.0,0.0264332266343686,0.23077604645425906
98311.0,10286.0,893308.0,21238.0,0.023774554800807784,0.2196444635994985
98312.0,10896.0,990972.0,27752.0,0.028004827583423143,0.2603396768149963
98315.0,2226.0,138158.0,360.0,0.002605712300409676,0.02008590049228168
98320.0,528.0,23428.0,1632.0,0.06966023561550282,0.43683853170534165
98321.0,6272.0,602262.0,16556.0,0.027489697174983646,0.2403701866678118
98323.0,290.0,26272.0,164.0,0.0062423873325213155,0.03541508129628977
98325.0,960.0,55068.0,4266.0,0.07746785792111571,0.5320472657199693
98326.0,184.0,14160.0,328.0,0.023163841807909605,0.12092349651311375
98327.0,4096.0,384650.0,6832.0,0.017761601455868973,0.1477411834556096
98328.0,4178.0,342268.0,11890.0,0.03473885960709152,0.28964661069835834
98329.0,3604.0,320826.0,14060.0,0.04382437832345259,0.35892503512511403
98330.0,112.0,6104.0,718.0,0.11762778505897772,0.5560721582299247
98331.0,1808.0,135206.0,7766.0,0.05743827936630031,0.43081750797730767
98332.0,7182.0,746016.0,51382.0,0.06887519838716596,0.6115754232662671
98333.0,1970.0,211026.0,12712.0,0.0602390226796698,0.456991075301268
98335.0,12820.0,1387088.0,95392.0,0.06877141176334883,0.6504977619133633
98336.0,394.0,20832.0,546.0,0.02620967741935484,0.15670466722523102
98337.0,1694.0,198782.0,4708.0,0.023684237003350404,0.17610267628501022
98338.0,10870.0,952218.0,23828.0,0.02502368155191353,0.23256644219041955
98339.0,1432.0,91200.0,6002.0,0.06581140350877193,0.4782860484410602
98340.0,1238.0,78680.0,4414.0,0.05610066090493137,0.3995522663638922
98342.0,680.0,59040.0,6212.0,0.10521680216802168,0.6863883645968964
